application_domain,task_type,QA_list,time_series_raw,question_text,time_series_norm,statistical_features
Healthcare,anomaly detection,"<|im_start|>user
The following data represents ECG (Electrocardiogram) signals, which record the electrical activity of the heart during each heartbeat and serve as an important tool for diagnosing heart diseases. Using a signal sampled at a frequency of 500 Hz, we can determine whether abnormalities are present in the human body. The input Time Serie is [-0.06, -0.05, -0.06, -0.03, -0.03, -0.05, -0.05, -0.02, -0.02, -0.02, -0.02, -0.02, -0.02, -0.02, -0.02, -0.04, -0.04, -0.08, -0.09, -0.1, -0.09, -0.11, -0.1, -0.08, -0.06, -0.05, -0.04, -0.04, -0.04, -0.04, -0.03, -0.01, -0.03, -0.03, -0.04, -0.04, -0.05, -0.04, -0.04, -0.04, -0.04, -0.06, -0.05, -0.05, -0.04, -0.05, -0.04, -0.06, -0.05, -0.05, -0.04, -0.05, -0.04, -0.07, -0.04, -0.05, -0.03, -0.03, -0.03, -0.04, -0.04, -0.03, -0.02, 0.01]. Please determine whether there are anomalies in this time series given information above.<|im_end|>
<|im_start|>assistant
Based on the given information, this time series includes Normal Point.<|im_end|>","[-0.06, -0.05, -0.06, -0.03, -0.03, -0.05, -0.05, -0.02, -0.02, -0.02, -0.02, -0.02, -0.02, -0.02, -0.02, -0.04, -0.04, -0.08, -0.09, -0.1, -0.09, -0.11, -0.1, -0.08, -0.06, -0.05, -0.04, -0.04, -0.04, -0.04, -0.03, -0.01, -0.03, -0.03, -0.04, -0.04, -0.05, -0.04, -0.04, -0.04, -0.04, -0.06, -0.05, -0.05, -0.04, -0.05, -0.04, -0.06, -0.05, -0.05, -0.04, -0.05, -0.04, -0.07, -0.04, -0.05, -0.03, -0.03, -0.03, -0.04, -0.04, -0.03, -0.02, 0.01]","The following data represents ECG (Electrocardiogram) signals, which record the electrical activity of the heart during each heartbeat and serve as an important tool for diagnosing heart diseases. Using a signal sampled at a frequency of 500 Hz, we can determine whether abnormalities are present in the human body. The input Time Serie is <ts>. Please determine whether there are anomalies in this time series given information above.","[-0.715198, -0.262003, -0.715198, 0.644386, 0.644386, -0.262003, -0.262003, 1.097581, 1.097581, 1.097581, 1.097581, 1.097581, 1.097581, 1.097581, 1.097581, 0.191191, 0.191191, -1.621587, -2.074782, -2.527976, -2.074782, -2.981171, -2.527976, -1.621587, -0.715198, -0.262003, 0.191191, 0.191191, 0.191191, 0.191191, 0.644386, 1.550775, 0.644386, 0.644386, 0.191191, 0.191191, -0.262003, 0.191191, 0.191191, 0.191191, 0.191191, -0.715198, -0.262003, -0.262003, 0.191191, -0.262003, 0.191191, -0.715198, -0.262003, -0.262003, 0.191191, -0.262003, 0.191191, -1.168392, 0.191191, -0.262003, 0.644386, 0.644386, 0.644386, 0.191191, 0.191191, 0.644386, 1.097581, 2.457164]","{'mean': -0.044219, 'std': 0.022066, 'min': -0.11, 'max': 0.01, 'median': -0.04}"
Healthcare,anomaly detection,"<|im_start|>user
The following data represents ECG (Electrocardiogram) signals, which record the electrical activity of the heart during each heartbeat and serve as an important tool for diagnosing heart diseases. Using a signal sampled at a frequency of 500 Hz, we can determine whether abnormalities are present in the human body. The input Time Serie is [0.06, 0.07, 0.07, 0.07, 0.05, 0.09, 0.07, 0.08, 0.08, 0.08, 0.1, 0.1, 0.12, 0.1, 0.1, 0.09, 0.08, 0.07, 0.05, 0.03, 0.01, 0.02, 0.0, -0.01, -0.03, -0.03, 0.01, 0.02, 0.02, 0.05, 0.04, 0.06, 0.05, 0.03, 0.05, 0.08, 0.06, 0.05, 0.06, 0.07, 0.05, 0.08, 0.07, 0.07, 0.06, 0.06, 0.08, 0.07, 0.07, 0.08, 0.07, 0.08, 0.03, 0.05, 0.05, 0.04, 0.04, 0.04, 0.03, 0.04, 0.04, 0.05, 0.05, 0.03]. Please determine whether there are anomalies in this time series given information above.<|im_end|>
<|im_start|>assistant
Based on the given information, this time series includes Normal Point.<|im_end|>","[0.06, 0.07, 0.07, 0.07, 0.05, 0.09, 0.07, 0.08, 0.08, 0.08, 0.1, 0.1, 0.12, 0.1, 0.1, 0.09, 0.08, 0.07, 0.05, 0.03, 0.01, 0.02, 0.0, -0.01, -0.03, -0.03, 0.01, 0.02, 0.02, 0.05, 0.04, 0.06, 0.05, 0.03, 0.05, 0.08, 0.06, 0.05, 0.06, 0.07, 0.05, 0.08, 0.07, 0.07, 0.06, 0.06, 0.08, 0.07, 0.07, 0.08, 0.07, 0.08, 0.03, 0.05, 0.05, 0.04, 0.04, 0.04, 0.03, 0.04, 0.04, 0.05, 0.05, 0.03]","The following data represents ECG (Electrocardiogram) signals, which record the electrical activity of the heart during each heartbeat and serve as an important tool for diagnosing heart diseases. Using a signal sampled at a frequency of 500 Hz, we can determine whether abnormalities are present in the human body. The input Time Serie is <ts>. Please determine whether there are anomalies in this time series given information above.","[0.177711, 0.512226, 0.512226, 0.512226, -0.156804, 1.181256, 0.512226, 0.846741, 0.846741, 0.846741, 1.515771, 1.515771, 2.184802, 1.515771, 1.515771, 1.181256, 0.846741, 0.512226, -0.156804, -0.825834, -1.494864, -1.160349, -1.829379, -2.163894, -2.832925, -2.832925, -1.494864, -1.160349, -1.160349, -0.156804, -0.491319, 0.177711, -0.156804, -0.825834, -0.156804, 0.846741, 0.177711, -0.156804, 0.177711, 0.512226, -0.156804, 0.846741, 0.512226, 0.512226, 0.177711, 0.177711, 0.846741, 0.512226, 0.512226, 0.846741, 0.512226, 0.846741, -0.825834, -0.156804, -0.156804, -0.491319, -0.491319, -0.491319, -0.825834, -0.491319, -0.491319, -0.156804, -0.156804, -0.825834]","{'mean': 0.054688, 'std': 0.029894, 'min': -0.03, 'max': 0.12, 'median': 0.06}"
AIOps,anomaly detection,"<|im_start|>user
This data originates from monitoring systems and devices, and it is used to evaluate system performance or detect anomalies in time series. It also assesses the health and operational performance of devices or services. The dataset includes IOPS metrics recorded during the operation of storage systems or servers. Using this data, we can determine whether anomalies have occurred within the system. The input Time Serie is [182.62, 172.57, 183.77, 173.34, 178.45, 176.69, 175.06, 180.79, 169.29, 172.56, 168.02, 158.8, 165.19, 174.84, 161.31, 160.82]. Please determine whether there are anomalies in this time series given information above.<|im_end|>
