application_domain,task_type,QA_list,time_series_raw,question_text,time_series_norm,statistical_features
Human Activity Recognition,classification,"<|im_start|>user
This dataset captures gait freezing using wearable accelerometers placed on the ankle (lower leg), thigh (above the knee), and hip, with 3D acceleration data recorded at 64 Hz. It includes nine measurements (following the order): horizontal forward, vertical, and horizontal lateral accelerations for the ankle (lower leg); horizontal forward, vertical, and horizontal lateral accelerations for the thigh; and horizontal forward, vertical, and horizontal lateral accelerations for the hip, all expressed in milligrams (mg). The input Time Serie is [20, 1009, 237, -154, 944, 292, 291, 952, -184]. Please judge whether this data corresponds to No freeze or Freeze. given information above.<|im_end|>
<|im_start|>assistant
Based on the given information, the answer is No freeze.<|im_end|>","[20, 1009, 237, -154, 944, 292, 291, 952, -184]","This dataset captures gait freezing using wearable accelerometers placed on the ankle (lower leg), thigh (above the knee), and hip, with 3D acceleration data recorded at 64 Hz. It includes nine measurements (following the order): horizontal forward, vertical, and horizontal lateral accelerations for the ankle (lower leg); horizontal forward, vertical, and horizontal lateral accelerations for the thigh; and horizontal forward, vertical, and horizontal lateral accelerations for the hip, all expressed in milligrams (mg). The input Time Serie is <ts>. Please judge whether this data corresponds to No freeze or Freeze. given information above.","[-0.799566, 1.405868, -0.315664, -1.18758, 1.260921, -0.193016, -0.195246, 1.27876, -1.254478]","{'mean': 378.555556, 'std': 448.43781, 'min': -184.0, 'max': 1009.0, 'median': 291.0}"
Human Activity Recognition,classification,"<|im_start|>user
Following data provides accelerometer data for activity recognition research. The dataset has a sampling rate of 20Hz and records accelerometer data for six activity states: walking, jogging, sitting, standing, upstairs, and downstairs. Each sample includes acceleration values for the X, Y, and Z axes, ranging from -20 to 20, where 10 represents 1g and 0 indicates no acceleration. The recorded acceleration includes gravitational acceleration, so when the phone is stationary on a flat surface, the vertical axis registers approximately ±10. We provide 10 timestamps of accelerometer data, with each timestamp containing X, Y, and Z values, for a total of 30 values. The recorded Time Serie is [4.75, 0.04, 4.018, 4.75, 0.04, 4.018, -1.33, 4.99, -3.8273, 6.32, 8.96, 11.6863, -6.36, 12.22, 0.7219, -6.36, 12.22, 0.7219, -11.54, 9.43, -7.7364, -10.99, 19.57, -5.598, 11.3, 18.12, 9.9156, -0.57, 0.19, -1.2667]. Please judge whether this data corresponds to 'Walking' or 'Jogging' or 'Upstairs' or 'Downstairs' or 'Sitting' or 'Standing' given information above.<|im_end|>
<|im_start|>assistant
Based on the given information, the activity is Jogging.<|im_end|>","[4.75, 0.04, 4.018, 4.75, 0.04, 4.018, -1.33, 4.99, -3.8273, 6.32, 8.96, 11.6863, -6.36, 12.22, 0.7219, -6.36, 12.22, 0.7219, -11.54, 9.43, -7.7364, -10.99, 19.57, -5.598, 11.3, 18.12, 9.9156, -0.57, 0.19, -1.2667]","Following data provides accelerometer data for activity recognition research. The dataset has a sampling rate of 20Hz and records accelerometer data for six activity states: walking, jogging, sitting, standing, upstairs, and downstairs. Each sample includes acceleration values for the X, Y, and Z axes, ranging from -20 to 20, where 10 represents 1g and 0 indicates no acceleration. The recorded acceleration includes gravitational acceleration, so when the phone is stationary on a flat surface, the vertical axis registers approximately ±10. We provide 10 timestamps of accelerometer data, with each timestamp containing X, Y, and Z values, for a total of 30 values. The recorded Time Serie is <ts>. Please judge whether this data corresponds to 'Walking' or 'Jogging' or 'Upstairs' or 'Downstairs' or 'Sitting' or 'Standing' given information above.","[0.228459, -0.368273, 0.135718, 0.228459, -0.368273, 0.135718, -0.541845, 0.258865, -0.858239, 0.427369, 0.761843, 1.107251, -1.179118, 1.174867, -0.28188, -1.179118, 1.174867, -0.28188, -1.835397, 0.821389, -1.353501, -1.765715, 2.106073, -1.082577, 1.058308, 1.922366, 0.882912, -0.445557, -0.349269, -0.533825]","{'mean': 2.946777, 'std': 7.892995, 'min': -11.54, 'max': 19.57, 'median': 2.36995}"
Human Activity Recognition,classification,"<|im_start|>user
This dataset captures gait freezing using wearable accelerometers placed on the ankle (lower leg), thigh (above the knee), and hip, with 3D acceleration data recorded at 64 Hz. It includes nine measurements (following the order): horizontal forward, vertical, and horizontal lateral accelerations for the ankle (lower leg); horizontal forward, vertical, and horizontal lateral accelerations for the thigh; and horizontal forward, vertical, and horizontal lateral accelerations for the hip, all expressed in milligrams (mg). The input Time Serie is [313, 941, 297, -9, 898, 212, 19, 885, -233]. Please judge whether this data corresponds to No freeze or Freeze. given information above.<|im_end|>
