application_domain,task_type,question_format,QA_list,time_series_raw,question_text,time_series_norm,statistical_features
Healthcare,detecting structural breaks,true/false,"<|im_start|>user
Is there a structural break in this series [0.54, 0.52, 0.5, 0.48, 0.46, 0.45, 0.43, 0.42, 0.4, 0.39, 0.39, 0.39, 0.38, 0.38, 0.38, 0.38, 0.37, 0.37, 0.37, 0.36, 0.36, 0.35, 0.35, 0.34]? Yes or No?<|im_end|>
<|im_start|>assistant
No. The series maintains a consistent declining pattern with no sudden or abrupt changes in trend or level, indicating no structural breaks.<|im_end|>","[0.54, 0.52, 0.5, 0.48, 0.46, 0.45, 0.43, 0.42, 0.4, 0.39, 0.39, 0.39, 0.38, 0.38, 0.38, 0.38, 0.37, 0.37, 0.37, 0.36, 0.36, 0.35, 0.35, 0.34]",Is there a structural break in this series <ts>? Yes or No?,"[2.415387, 2.053079, 1.690771, 1.328463, 0.966155, 0.785001, 0.422693, 0.241539, -0.120769, -0.301923, -0.301923, -0.301923, -0.483077, -0.483077, -0.483077, -0.483077, -0.664231, -0.664231, -0.664231, -0.845385, -0.845385, -1.026539, -1.026539, -1.207693]","{'mean': 0.406667, 'std': 0.055202, 'min': 0.34, 'max': 0.54, 'median': 0.385}"
Healthcare,cyclical patterns,true/false,"<|im_start|>user
Do the selected data points [-0.53, -0.54, -0.57, -0.56, -0.55, -0.54, -0.53, -0.52, -0.49, -0.46, -0.43, -0.38, -0.35, -0.32, -0.3, -0.27, -0.24, -0.23, -0.21, -0.2, -0.17, -0.16, -0.13, -0.12] show cyclical patterns?<|im_end|>
<|im_start|>assistant
False. The data shows a gradual upward trend without repeating cycles, indicating there's no clear cyclical pattern present.<|im_end|>","[-0.53, -0.54, -0.57, -0.56, -0.55, -0.54, -0.53, -0.52, -0.49, -0.46, -0.43, -0.38, -0.35, -0.32, -0.3, -0.27, -0.24, -0.23, -0.21, -0.2, -0.17, -0.16, -0.13, -0.12]",Do the selected data points <ts> show cyclical patterns?,"[-1.051638, -1.116024, -1.309182, -1.244796, -1.18041, -1.116024, -1.051638, -0.987252, -0.794094, -0.600936, -0.407778, -0.085848, 0.10731, 0.300468, 0.42924, 0.622398, 0.815556, 0.879942, 1.008714, 1.0731, 1.266258, 1.330644, 1.523802, 1.588188]","{'mean': -0.366667, 'std': 0.155313, 'min': -0.57, 'max': -0.12, 'median': -0.365}"
Nature,trend_analysis,true/false,"<|im_start|>user
Given the data points [0.08, 0.15, -0.02, 0.19, 0.02, 0.14, 0.04, 0.07, 0.07, 0.04, 0.09, 0.09, 0.02, 0.14, 0.03, 0.1, 0.08, 0.04, 0.09, 0.04, 0.0, 0.05, -0.01, 0.01], is the overall trend increasing?<|im_end|>
<|im_start|>assistant
